title,real_title,href,date
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe4\xb8\x80\xe7\xab\xa0 \xe8\xa1\x80\xe5\xb0\xb8',b'http://seputu.com/biji1/1.html',b'2012-5-19 3:3:52'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe4\xba\x8c\xe7\xab\xa0 \xe4\xba\x94\xe5\x8d\x81\xe5\xb9\xb4\xe5\x90\x8e',b'http://seputu.com/biji1/2.html',b'2012-5-19 3:5:22'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe4\xb8\x89\xe7\xab\xa0 \xe7\x93\x9c\xe5\xad\x90\xe5\xba\x99',b'http://seputu.com/biji1/3.html',b'2012-5-19 3:6:15'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe5\x9b\x9b\xe7\xab\xa0 \xe5\xb0\xb8\xe6\xb4\x9e',b'http://seputu.com/biji1/4.html',b'2012-5-19 3:30:57'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe4\xba\x94\xe7\xab\xa0 \xe6\xb0\xb4\xe5\xbd\xb1',b'http://seputu.com/biji1/5.html',b'2012-5-19 4:52:12'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe5\x85\xad\xe7\xab\xa0 \xe7\xa7\xaf\xe5\xb0\xb8\xe5\x9c\xb0',b'http://seputu.com/biji1/6.html',b'2012-5-19 4:53:14'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe4\xb8\x83\xe7\xab\xa0 \xe4\xb8\x80\xe7\x99\xbe\xe5\xa4\x9a\xe4\xb8\xaa\xe4\xba\xba\xe5\xa4\xb4',b'http://seputu.com/biji1/7.html',b'2012-5-22 14:42:52'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe5\x85\xab\xe7\xab\xa0 \xe5\xb1\xb1\xe8\xb0\xb7',b'http://seputu.com/biji1/8.html',b'2012-5-22 14:43:24'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe4\xb9\x9d\xe7\xab\xa0 \xe5\x8f\xa4\xe5\xa2\x93',b'http://seputu.com/biji1/9.html',b'2012-5-22 14:44:0'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe5\x8d\x81\xe7\xab\xa0 \xe5\xbd\xb1\xe5\xad\x90',b'http://seputu.com/biji1/10.html',b'2012-5-22 14:44:35'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe5\x8d\x81\xe4\xb8\x80\xe7\xab\xa0 \xe4\xb8\x83\xe6\x98\x9f\xe6\xa3\xba',b'http://seputu.com/biji1/11.html',b'2012-5-22 14:45:8'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe5\x8d\x81\xe4\xba\x8c\xe7\xab\xa0 \xe9\x97\xa8',b'http://seputu.com/biji1/12.html',b'2012-5-22 14:45:44'
b'\xe7\x9b\x97\xe5\xa2\x93\xe7\xac\x94\xe8\xae\xb01\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b\xe5\xae\xab',b'\xe4\xb8\x83\xe6\x98\x9f\xe9\xb2\x81\xe7\x8e\x8b \xe7\xac\xac\xe5\x8d\x81\xe4\xb8\x89\xe7\xab\xa0 02200059',b'http://seputu.com/biji1/13.html',b'2012-5-22 14:46:15'
